feature,importance
num__neighborhood_median_price,0.11903471
num__dof_assess_per_unit,0.08003242
num__residential_units,0.054328512
cat__pluto_bldgclass_C3,0.041827183
num__subway_cbd_dist_km,0.040805396
num__total_units,0.040566854
cat__dof_tax_class_2,0.032859363
cat__dof_bldg_class_C3,0.027227078
num__dof_curactland,0.025363233
num__acris_last_deed_amt,0.022904435
cat__borough_name_Bronx,0.021519948
cat__neighborhood_OCEAN HILL,0.020256681
num__pluto_bldg_footprint,0.018542252
num__acris_last_mtge_amt,0.01850165
cat__dof_tax_class_2A,0.017882098
num__pluto_numfloors,0.017565878
num__dof_units,0.017202202
num__acris_mortgage_cnt,0.013933445
cat__pluto_bldgclass_C5,0.01355198
num__subway_dist_km,0.0135515705
cat__neighborhood_BEDFORD STUYVESANT,0.013351945
num__subway_k3_mean_dist_km,0.012946717
num__dof_curmkttot,0.012439048
num__property_age,0.012430092
num__acris_days_since_last_deed,0.012405971
num__is_elevator,0.012027577
num__pluto_builtfar,0.011938272
cat__dof_bldg_class_C1,0.0114608025
num__subway_n_1km,0.011315176
num__dof_yrbuilt,0.011036741
cat__pluto_bldgclass_C1,0.01041776
num__dof_curacttot,0.010045015
cat__borough_name_Brooklyn,0.009982893
cat__borough_name_Manhattan,0.009915961
cat__dof_bldg_class_C5,0.009877972
num__j51_last_abate_amt,0.009353117
cat__borough_name_Queens,0.009297855
num__j51_total_abatement,0.009258731
cat__dof_bldg_class_C4,0.009243266
num__subway_n_500m,0.008386424
num__subway_hub_flag,0.007905441
num__dof_bld_story,0.0077785477
num__dof_gross_sqft,0.007774537
cat__pluto_bldgclass_D7,0.0076822164
cat__pluto_bldgclass_C7,0.0071272454
cat__pluto_bldgclass_C4,0.0068698213
num__acris_prior_sale_cnt,0.0063704564
cat__pluto_bldgclass_C2,0.005536982
cat__dof_tax_class_2B,0.005264035
cat__pluto_bldgclass_D3,0.0050380067
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.005018011
cat__pluto_bldgclass_D1,0.004787876
cat__neighborhood_GREENPOINT,0.004636983
cat__dof_bldg_class_C2,0.0040644803
cat__neighborhood_HARLEM-CENTRAL,0.003951554
cat__dof_bldg_class_C7,0.003770904
cat__neighborhood_PARK SLOPE,0.0036714133
cat__dof_bldg_class_D1,0.0035789765
cat__neighborhood_ASTORIA,0.0035596401
cat__neighborhood_BAY RIDGE,0.0030939556
cat__neighborhood_CROWN HEIGHTS,0.0029155067
cat__neighborhood_OZONE PARK,0.0024165036
cat__neighborhood_UPPER WEST SIDE (79-96),0.0023935637
num__j51_active_flag,0.0021735332
cat__neighborhood_UPPER EAST SIDE (79-96),0.0019079391
cat__neighborhood_BOROUGH PARK,0.0017387714
cat__neighborhood_BENSONHURST,0.0013758605
cat__neighborhood_CARROLL GARDENS,0.0013715781
cat__neighborhood_UPPER WEST SIDE (59-79),0.0009399598
cat__neighborhood_BUSHWICK,0.0006974738
cat__neighborhood_ST. ALBANS,0.0
cat__neighborhood_STAPLETON,0.0
cat__neighborhood_SPRINGFIELD GARDENS,0.0
cat__neighborhood_SUNSET PARK,0.0
cat__neighborhood_THROGS NECK,0.0
cat__neighborhood_TOMPKINSVILLE,0.0
cat__neighborhood_TOTTENVILLE,0.0
cat__neighborhood_TRIBECA,0.0
cat__neighborhood_UPPER EAST SIDE (59-79),0.0
cat__neighborhood_SUNNYSIDE,0.0
cat__pluto_bldgclass_C6,0.0
cat__neighborhood_UPPER EAST SIDE (96-110),0.0
cat__neighborhood_SOUTH OZONE PARK,0.0
cat__neighborhood_UPPER WEST SIDE (96-116),0.0
cat__neighborhood_WAKEFIELD,0.0
cat__pluto_bldgclass_S9,0.0
cat__neighborhood_WASHINGTON HEIGHTS UPPER,0.0
cat__neighborhood_WEST NEW BRIGHTON,0.0
cat__neighborhood_WESTCHESTER,0.0
cat__neighborhood_WESTERLEIGH,0.0
cat__neighborhood_WHITESTONE,0.0
cat__neighborhood_WILLIAMSBRIDGE,0.0
cat__neighborhood_SOUTHBRIDGE,0.0
cat__neighborhood_SOUNDVIEW,0.0
cat__neighborhood_SOUTH JAMAICA,0.0
cat__neighborhood_SOUTH BEACH,0.0
cat__neighborhood_PARK SLOPE SOUTH,0.0
cat__neighborhood_PARKCHESTER,0.0
cat__neighborhood_PELHAM GARDENS,0.0
cat__neighborhood_PELHAM PARKWAY NORTH,0.0
cat__neighborhood_PELHAM PARKWAY SOUTH,0.0
cat__neighborhood_PORT IVORY,0.0
cat__neighborhood_PORT RICHMOND,0.0
cat__neighborhood_PROSPECT HEIGHTS,0.0
cat__neighborhood_QUEENS VILLAGE,0.0
cat__neighborhood_RED HOOK,0.0
cat__neighborhood_REGO PARK,0.0
cat__neighborhood_RICHMOND HILL,0.0
cat__neighborhood_RIDGEWOOD,0.0
cat__neighborhood_RIVERDALE,0.0
cat__neighborhood_ROCKAWAY PARK,0.0
cat__neighborhood_ROSEBANK,0.0
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,0.0
cat__neighborhood_SEAGATE,0.0
cat__neighborhood_SHEEPSHEAD BAY,0.0
cat__neighborhood_SILVER LAKE,0.0
cat__pluto_bldgclass_V0,0.0
cat__neighborhood_SOHO,0.0
cat__pluto_bldgclass_S5,0.0
cat__neighborhood_WILLIAMSBURG-CENTRAL,0.0
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0
cat__neighborhood_WILLIAMSBURG-EAST,0.0
cat__dof_tax_class_3,0.0
cat__dof_bldg_class_G7,0.0
cat__dof_bldg_class_M1,0.0
cat__dof_bldg_class_U7,0.0
cat__dof_bldg_class_V0,0.0
cat__pluto_bldgclass_D6,0.0
cat__dof_bldg_class_V3,0.0
cat__dof_tax_class_1,0.0
cat__dof_tax_class_1B,0.0
cat__pluto_bldgclass_D5,0.0
cat__pluto_bldgclass_D4,0.0
cat__pluto_bldgclass_D2,0.0
cat__dof_tax_class_4,0.0
cat__neighborhood_WILLIAMSBURG-NORTH,0.0
cat__pluto_bldgclass_A3,0.0
cat__pluto_bldgclass_A4,0.0
cat__pluto_bldgclass_A5,0.0
cat__pluto_bldgclass_A7,0.0
cat__pluto_bldgclass_B1,0.0
cat__pluto_bldgclass_B2,0.0
cat__pluto_bldgclass_B3,0.0
cat__pluto_bldgclass_B9,0.0
cat__pluto_bldgclass_C0,0.0
cat__pluto_bldgclass_CC,0.0
cat__pluto_bldgclass_CB,0.0
cat__dof_bldg_class_D9,0.0
cat__dof_bldg_class_D7,0.0
cat__dof_bldg_class_D6,0.0
cat__dof_bldg_class_D5,0.0
cat__pluto_bldgclass_C9,0.0
cat__pluto_bldgclass_S4,0.0
cat__neighborhood_WILLOWBROOK,0.0
cat__neighborhood_WINDSOR TERRACE,0.0
cat__neighborhood_WOODHAVEN,0.0
cat__neighborhood_WOODLAWN,0.0
cat__neighborhood_WOODSIDE,0.0
cat__neighborhood_WYCKOFF HEIGHTS,0.0
cat__dof_bldg_class_B1,0.0
cat__dof_bldg_class_B2,0.0
cat__dof_bldg_class_B9,0.0
cat__dof_bldg_class_C0,0.0
cat__pluto_bldgclass_S3,0.0
cat__pluto_bldgclass_S2,0.0
cat__pluto_bldgclass_O2,0.0
cat__pluto_bldgclass_G7,0.0
cat__pluto_bldgclass_G0,0.0
cat__dof_bldg_class_C6,0.0
cat__pluto_bldgclass_DB,0.0
cat__dof_bldg_class_C9,0.0
cat__pluto_bldgclass_D9,0.0
cat__dof_bldg_class_D2,0.0
cat__dof_bldg_class_D3,0.0
cat__dof_bldg_class_V1,0.0
cat__neighborhood_MELROSE/CONCOURSE,0.0
cat__neighborhood_OLD MILL BASIN,0.0
cat__neighborhood_FLATLANDS,0.0
cat__neighborhood_CLINTON,0.0
cat__neighborhood_CLINTON HILL,0.0
cat__neighborhood_COBBLE HILL,0.0
cat__neighborhood_COBBLE HILL-WEST,0.0
cat__neighborhood_COLLEGE POINT,0.0
cat__neighborhood_CONCORD,0.0
cat__neighborhood_CONEY ISLAND,0.0
cat__neighborhood_CORONA,0.0
cat__neighborhood_COUNTRY CLUB,0.0
cat__neighborhood_CROTONA PARK,0.0
cat__neighborhood_CYPRESS HILLS,0.0
cat__neighborhood_DONGAN HILLS-COLONY,0.0
cat__neighborhood_DOUGLASTON,0.0
cat__neighborhood_DOWNTOWN-FULTON FERRY,0.0
cat__neighborhood_DOWNTOWN-FULTON MALL,0.0
cat__neighborhood_DOWNTOWN-METROTECH,0.0
cat__neighborhood_DYKER HEIGHTS,0.0
cat__neighborhood_EAST ELMHURST,0.0
cat__neighborhood_EAST NEW YORK,0.0
cat__neighborhood_EAST TREMONT,0.0
cat__neighborhood_EAST VILLAGE,0.0
cat__neighborhood_ELMHURST,0.0
cat__neighborhood_FAR ROCKAWAY,0.0
cat__neighborhood_FASHION,0.0
cat__neighborhood_FINANCIAL,0.0
cat__neighborhood_FLATBUSH-CENTRAL,0.0
cat__neighborhood_FLATBUSH-EAST,0.0
cat__neighborhood_FLATBUSH-LEFFERTS GARDEN,0.0
cat__neighborhood_FLATBUSH-NORTH,0.0
cat__neighborhood_CIVIC CENTER,0.0
cat__neighborhood_CITY ISLAND,0.0
cat__neighborhood_CHINATOWN,0.0
cat__neighborhood_BELLE HARBOR,0.0
num__pluto_bldgarea,0.0
num__pluto_lotarea,0.0
cat__borough_name_Staten Island,0.0
cat__neighborhood_AIRPORT LA GUARDIA,0.0
cat__neighborhood_ALPHABET CITY,0.0
cat__neighborhood_ANNADALE,0.0
cat__neighborhood_ARROCHAR,0.0
cat__neighborhood_ARVERNE,0.0
cat__neighborhood_BATH BEACH,0.0
cat__neighborhood_BATHGATE,0.0
cat__neighborhood_BAYCHESTER,0.0
cat__neighborhood_BAYSIDE,0.0
cat__neighborhood_BEDFORD PARK/NORWOOD,0.0
cat__neighborhood_BELMONT,0.0
cat__neighborhood_CHELSEA,0.0
cat__neighborhood_BERGEN BEACH,0.0
cat__neighborhood_BOERUM HILL,0.0
cat__neighborhood_BRIARWOOD,0.0
cat__neighborhood_BRIGHTON BEACH,0.0
cat__neighborhood_BRONX PARK,0.0
cat__neighborhood_BRONXDALE,0.0
cat__neighborhood_BROOKLYN HEIGHTS,0.0
cat__neighborhood_BROWNSVILLE,0.0
cat__neighborhood_BULLS HEAD,0.0
cat__neighborhood_BUSH TERMINAL,0.0
cat__neighborhood_CANARSIE,0.0
cat__neighborhood_CASTLE HILL/UNIONPORT,0.0
cat__neighborhood_CASTLETON CORNERS,0.0
cat__neighborhood_FLATIRON,0.0
cat__neighborhood_FLUSHING-NORTH,0.0
cat__neighborhood_OCEAN PARKWAY-SOUTH,0.0
cat__neighborhood_FLUSHING-SOUTH,0.0
cat__neighborhood_LITTLE ITALY,0.0
cat__neighborhood_LITTLE NECK,0.0
cat__neighborhood_LIVINGSTON,0.0
cat__neighborhood_LONG ISLAND CITY,0.0
cat__neighborhood_LOWER EAST SIDE,0.0
cat__neighborhood_MADISON,0.0
cat__neighborhood_MANHATTAN BEACH,0.0
cat__neighborhood_MANHATTAN VALLEY,0.0
cat__neighborhood_MARINE PARK,0.0
cat__neighborhood_MARINERS HARBOR,0.0
cat__neighborhood_MASPETH,0.0
cat__neighborhood_MIDDLE VILLAGE,0.0
cat__neighborhood_MIDLAND BEACH,0.0
cat__neighborhood_MIDTOWN EAST,0.0
cat__neighborhood_MIDTOWN WEST,0.0
cat__neighborhood_MIDWOOD,0.0
cat__neighborhood_MORRIS PARK/VAN NEST,0.0
cat__neighborhood_MORRISANIA/LONGWOOD,0.0
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.0
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.0
cat__neighborhood_MURRAY HILL,0.0
cat__neighborhood_NAVY YARD,0.0
cat__neighborhood_NEW BRIGHTON,0.0
cat__neighborhood_NEW BRIGHTON-ST. GEORGE,0.0
cat__neighborhood_NEW DORP,0.0
